drug_1_rxnorn_id,drug_1_concept_name,drug_2_rxnorm_id,drug_2_concept_name,condition_meddra_id,condition_concept_name,A,B,C,D,PRR,PRR_error,mean_reporting_frequency
10355,Temazepam,136411,sildenafil,10043709,Thyroid disorder,1,155,2,1558,5.0,1.22186,0.00641026
10324,Tamoxifen,8640,Prednisone,10048629,Wound secretion,3,138,2,1408,15.0,0.908588,0.0212766
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10035618,Pleurisy,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10059245,Angiopathy,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10005555,Blood glucose decreased,2,154,3,1557,6.66667,0.909001,0.0128205
161,Acetaminophen,1546438,glycopyrronium,10005555,Blood glucose decreased,1,22,1,229,10.0,1.3972,0.0434783
7781,Oxazepam,9863,Sodium Chloride,10025082,Lung disorder,1,34,1,349,10.0,1.40306,0.0285714
10355,Temazepam,136411,sildenafil,10060862,Prostate cancer,2,154,3,1557,6.66667,0.909001,0.0128205
10324,Tamoxifen,8640,Prednisone,10025197,Lymphadenopathy,8,133,5,1405,16.0,0.563204,0.0567376
10355,Temazepam,136411,sildenafil,10025197,Lymphadenopathy,2,154,4,1556,5.0,0.861945,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10025197,Lymphadenopathy,1,108,5,1085,2.0,1.09083,0.00917431
10355,Temazepam,136411,sildenafil,10049564,Impaired driving ability,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10005802,Blood sodium decreased,1,155,2,1558,5.0,1.22186,0.00641026
10324,Tamoxifen,8640,Prednisone,10000880,Acute myeloid leukaemia,1,140,2,1408,5.0,1.22156,0.0070922
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10005186,Blindness unilateral,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10043458,Thirst,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10050778,Walking aid user,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10028641,Myopathy,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10005364,Blood bilirubin increased,2,154,5,1555,4.0,0.832435,0.0128205
10355,Temazepam,136411,sildenafil,10047295,Ventricular hypertrophy,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10061173,Gastrointestinal motility disorder,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10003591,Ataxia,1,140,2,1408,5.0,1.22156,0.0070922
10355,Temazepam,136411,sildenafil,10003591,Ataxia,1,155,3,1557,3.33333,1.15164,0.00641026
10355,Temazepam,136411,sildenafil,10049803,Blood glucose fluctuation,1,155,3,1557,3.33333,1.15164,0.00641026
10355,Temazepam,136411,sildenafil,10017626,Gallbladder disorder,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10005470,Blood creatine phosphokinase increased,1,108,8,1082,1.25,1.05589,0.00917431
10355,Temazepam,136411,sildenafil,10016642,Fibrosis,2,154,1,1559,20.0,1.22186,0.0128205
10324,Tamoxifen,8640,Prednisone,10027459,Metastases to lymph nodes,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10061394,Upper limb fracture,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10003662,Atrial flutter,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10049414,Treatment noncompliance,1,155,3,1557,3.33333,1.15164,0.00641026
7781,Oxazepam,9863,Sodium Chloride,10049414,Treatment noncompliance,1,34,1,349,10.0,1.40306,0.0285714
10355,Temazepam,136411,sildenafil,10038743,Restlessness,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10028347,Muscle twitching,2,154,2,1558,10.0,0.996468,0.0128205
10355,Temazepam,136411,sildenafil,10061599,Lower limb fracture,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10053425,Injection site swelling,1,108,5,1085,2.0,1.09083,0.00917431
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10069889,Product adhesion issue,2,107,1,1089,20.0,1.22062,0.0183486
10355,Temazepam,136411,sildenafil,10023439,Kidney transplant rejection,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10031123,Orthopnoea,2,139,3,1407,6.66667,0.908588,0.0141844
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10017367,Frequent bowel movements,2,107,1,1089,20.0,1.22062,0.0183486
10324,Tamoxifen,8640,Prednisone,10000084,Abdominal pain lower,1,140,3,1407,3.33333,1.15132,0.0070922
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10064295,Drug administration error,1,108,3,1087,3.33333,1.15032,0.00917431
1808,Bumetanide,7824,Oxytocin,10062244,Sinus disorder,1,13,1,139,10.0,1.38616,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10064307,Incorrect drug administration duration,4,105,2,1088,20.0,0.860179,0.0366972
10324,Tamoxifen,8640,Prednisone,10018830,Haematemesis,2,139,2,1408,10.0,0.996092,0.0141844
10355,Temazepam,136411,sildenafil,10007649,Cardiovascular disorder,1,155,4,1556,2.5,1.11488,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10007649,Cardiovascular disorder,1,108,4,1086,2.5,1.11351,0.00917431
10355,Temazepam,136411,sildenafil,10061257,Jaw disorder,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10019717,Hepatitis,1,155,1,1559,10.0,1.41172,0.00641026
1808,Bumetanide,7824,Oxytocin,10019717,Hepatitis,1,13,1,139,10.0,1.38616,0.0714286
10355,Temazepam,136411,sildenafil,10022595,International normalised ratio increased,3,153,6,1554,5.0,0.702103,0.0192308
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022595,International normalised ratio increased,1,108,2,1088,5.0,1.22062,0.00917431
10324,Tamoxifen,8640,Prednisone,10016288,Febrile neutropenia,4,137,8,1402,5.0,0.605969,0.0283688
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10033474,Pain of skin,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10013050,Disability,4,152,1,1559,40.0,1.11488,0.025641
10324,Tamoxifen,8640,Prednisone,10034539,Periodontitis,3,138,1,1409,30.0,1.15132,0.0212766
10355,Temazepam,136411,sildenafil,10038540,Renal tubular necrosis,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10009944,Colon cancer,3,138,1,1409,30.0,1.15132,0.0212766
1808,Bumetanide,7824,Oxytocin,10009944,Colon cancer,1,13,1,139,10.0,1.38616,0.0714286
10355,Temazepam,136411,sildenafil,10012442,Dermatitis contact,3,153,1,1559,30.0,1.15164,0.0192308
10324,Tamoxifen,8640,Prednisone,10009657,Clostridium difficile colitis,2,139,1,1409,20.0,1.22156,0.0141844
10355,Temazepam,136411,sildenafil,10036556,Pregnancy,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10019133,Hangover,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10061520,Ill-defined disorder,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10061520,Ill-defined disorder,2,107,3,1087,6.66667,0.907327,0.0183486
10324,Tamoxifen,8640,Prednisone,10023003,Irritable bowel syndrome,2,139,1,1409,20.0,1.22156,0.0141844
10324,Tamoxifen,8640,Prednisone,10067585,Type 2 diabetes mellitus,2,139,1,1409,20.0,1.22156,0.0141844
10355,Temazepam,136411,sildenafil,10067585,Type 2 diabetes mellitus,5,151,6,1554,8.33333,0.599679,0.0320513
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10067585,Type 2 diabetes mellitus,1,108,2,1088,5.0,1.22062,0.00917431
10355,Temazepam,136411,sildenafil,10006825,C-reactive protein increased,1,155,4,1556,2.5,1.11488,0.00641026
7781,Oxazepam,9863,Sodium Chloride,10006825,C-reactive protein increased,1,34,2,348,5.0,1.21185,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10006825,C-reactive protein increased,2,107,6,1084,3.33333,0.810293,0.0183486
10355,Temazepam,136411,sildenafil,10050953,Lower gastrointestinal haemorrhage,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10024570,Lip swelling,2,107,1,1089,20.0,1.22062,0.0183486
10355,Temazepam,136411,sildenafil,10018870,Blood urine present,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10069328,Incorrect product storage,1,108,1,1089,10.0,1.41064,0.00917431
10324,Tamoxifen,8640,Prednisone,10011655,Cushingoid,1,140,1,1409,10.0,1.41145,0.0070922
10324,Tamoxifen,8640,Prednisone,10017865,Gastritis erosive,3,138,1,1409,30.0,1.15132,0.0212766
10355,Temazepam,136411,sildenafil,10017865,Gastritis erosive,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10041962,Status epilepticus,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10011703,Cyanosis,2,154,5,1555,4.0,0.832435,0.0128205
10355,Temazepam,136411,sildenafil,10029719,Nonspecific reaction,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10018484,Glycosylated haemoglobin increased,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10023424,Kidney infection,1,155,1,1559,10.0,1.41172,0.00641026
161,Acetaminophen,1546438,glycopyrronium,10037855,Rash erythematous,1,22,2,228,5.0,1.20506,0.0434783
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10037855,Rash erythematous,1,108,5,1085,2.0,1.09083,0.00917431
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10018916,Haemolytic anaemia,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10020679,Hypernatraemia,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10046910,Vaginal haemorrhage,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10028997,Neoplasm malignant,4,152,10,1550,4.0,0.585618,0.025641
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10028997,Neoplasm malignant,1,108,8,1082,1.25,1.05589,0.00917431
10355,Temazepam,136411,sildenafil,10041549,Spinal cord compression,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10066152,Transfusion,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10063541,Bowel movement irregularity,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10000486,Acidosis,1,155,3,1557,3.33333,1.15164,0.00641026
10355,Temazepam,136411,sildenafil,10009192,Circulatory collapse,1,155,4,1556,2.5,1.11488,0.00641026
10355,Temazepam,136411,sildenafil,10056407,Refusal of treatment by patient,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10002199,Anaphylactic shock,1,108,4,1086,2.5,1.11351,0.00917431
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10019300,Heart rate abnormal,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10033864,Paranoia,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10018879,Haemoglobin abnormal,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10016667,Fibula fracture,3,153,1,1559,30.0,1.15164,0.0192308
10324,Tamoxifen,8640,Prednisone,10068286,Anorectal discomfort,1,140,1,1409,10.0,1.41145,0.0070922
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10051572,Injection site discolouration,1,108,2,1088,5.0,1.22062,0.00917431
10355,Temazepam,136411,sildenafil,10012689,Diabetic retinopathy,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10020094,Hilar lymphadenopathy,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10061309,Neoplasm progression,1,155,2,1558,5.0,1.22186,0.00641026
10324,Tamoxifen,8640,Prednisone,10018286,Gingival pain,5,136,1,1409,50.0,1.09188,0.035461
10355,Temazepam,136411,sildenafil,10017693,Gamma-glutamyltransferase increased,2,154,1,1559,20.0,1.22186,0.0128205
10355,Temazepam,136411,sildenafil,10040867,Skin hypertrophy,1,155,1,1559,10.0,1.41172,0.00641026
161,Acetaminophen,1546438,glycopyrronium,10050473,Abscess limb,1,22,1,229,10.0,1.3972,0.0434783
10355,Temazepam,136411,sildenafil,10042604,Supraventricular tachycardia,5,151,2,1558,25.0,0.832435,0.0320513
10324,Tamoxifen,8640,Prednisone,10025310,Lymphoma,5,136,1,1409,50.0,1.09188,0.035461
10355,Temazepam,136411,sildenafil,10005851,Blood urea increased,1,155,3,1557,3.33333,1.15164,0.00641026
10355,Temazepam,136411,sildenafil,10012271,Dementia Alzheimer's type,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10017817,Gastric polyps,1,108,1,1089,10.0,1.41064,0.00917431
10324,Tamoxifen,8640,Prednisone,10047289,Ventricular extrasystoles,1,140,3,1407,3.33333,1.15132,0.0070922
10324,Tamoxifen,8640,Prednisone,10015995,Eyelid ptosis,2,139,4,1406,5.0,0.86151,0.0141844
10355,Temazepam,136411,sildenafil,10037999,Reading disorder,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10031256,Osteomyelitis chronic,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10042316,Subarachnoid haemorrhage,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10001507,Agranulocytosis,3,138,2,1408,15.0,0.908588,0.0212766
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10048964,Carotid artery occlusion,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10013002,Dilatation atrial,2,154,1,1559,20.0,1.22186,0.0128205
7781,Oxazepam,9863,Sodium Chloride,10031264,Osteonecrosis,1,34,1,349,10.0,1.40306,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10021058,Hypophosphataemia,1,108,2,1088,5.0,1.22062,0.00917431
10355,Temazepam,136411,sildenafil,10029898,Obsessive-compulsive disorder,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10021328,Ileus,1,108,1,1089,10.0,1.41064,0.00917431
1808,Bumetanide,7824,Oxytocin,10053123,Protein urine present,1,13,1,139,10.0,1.38616,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10053123,Protein urine present,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10060734,Diabetic foot,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10013974,Dyspnoea paroxysmal nocturnal,2,139,1,1409,20.0,1.22156,0.0141844
10355,Temazepam,136411,sildenafil,10001367,Adrenal insufficiency,3,153,1,1559,30.0,1.15164,0.0192308
10355,Temazepam,136411,sildenafil,10065679,Intentional drug misuse,1,155,7,1553,1.42857,1.06574,0.00641026
10355,Temazepam,136411,sildenafil,10012741,Diarrhoea haemorrhagic,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10029547,Non-Hodgkin's lymphoma,1,108,2,1088,5.0,1.22062,0.00917431
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10018659,Grand mal convulsion,2,107,2,1088,10.0,0.994941,0.0183486
10324,Tamoxifen,8640,Prednisone,10024288,Leukaemia,2,139,1,1409,20.0,1.22156,0.0141844
10355,Temazepam,136411,sildenafil,10019695,Hepatic neoplasm,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10037063,Prothrombin time prolonged,1,155,3,1557,3.33333,1.15164,0.00641026
10355,Temazepam,136411,sildenafil,10012607,Diabetes mellitus inadequate control,2,154,2,1558,10.0,0.996468,0.0128205
10355,Temazepam,136411,sildenafil,10015832,Extrapyramidal disorder,2,154,7,1553,2.85714,0.797374,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10015832,Extrapyramidal disorder,3,106,6,1084,5.0,0.699934,0.0275229
10324,Tamoxifen,8640,Prednisone,10044032,Tooth discolouration,2,139,2,1408,10.0,0.996092,0.0141844
10355,Temazepam,136411,sildenafil,10012650,Diabetic coma,2,154,2,1558,10.0,0.996468,0.0128205
10324,Tamoxifen,8640,Prednisone,10059056,Ventricular dysfunction,1,140,1,1409,10.0,1.41145,0.0070922
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10029282,Neuroleptic malignant syndrome,1,108,1,1089,10.0,1.41064,0.00917431
10324,Tamoxifen,8640,Prednisone,10003041,Application site erythema,1,140,5,1405,2.0,1.09188,0.0070922
10324,Tamoxifen,8640,Prednisone,10023681,Lactose intolerance,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10048921,Alcohol use,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10002388,Angina unstable,3,153,2,1558,15.0,0.909001,0.0192308
10355,Temazepam,136411,sildenafil,10060938,Anaesthetic complication,1,155,1,1559,10.0,1.41172,0.00641026
7781,Oxazepam,9863,Sodium Chloride,10061043,Clostridial infection,1,34,1,349,10.0,1.40306,0.0285714
10355,Temazepam,136411,sildenafil,10037394,Pulmonary haemorrhage,3,153,1,1559,30.0,1.15164,0.0192308
10355,Temazepam,136411,sildenafil,10039163,Right ventricular failure,4,152,2,1558,20.0,0.861945,0.025641
7781,Oxazepam,9863,Sodium Chloride,10000173,Abnormal sensation in eye,1,34,1,349,10.0,1.40306,0.0285714
10355,Temazepam,136411,sildenafil,10028164,Multiple allergies,1,155,1,1559,10.0,1.41172,0.00641026
1808,Bumetanide,7824,Oxytocin,10062042,Lung neoplasm,1,13,1,139,10.0,1.38616,0.0714286
10355,Temazepam,136411,sildenafil,10066434,Expired drug administered,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10048919,Performance status decreased,1,140,1,1409,10.0,1.41145,0.0070922
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10021576,Inadequate analgesia,1,108,2,1088,5.0,1.22062,0.00917431
10355,Temazepam,136411,sildenafil,10057677,Transplant,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022806,Intraocular pressure increased,1,108,1,1089,10.0,1.41064,0.00917431
10324,Tamoxifen,8640,Prednisone,10049447,Tachyarrhythmia,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10049447,Tachyarrhythmia,3,153,1,1559,30.0,1.15164,0.0192308
10324,Tamoxifen,8640,Prednisone,10040739,Sinus arrhythmia,1,140,2,1408,5.0,1.22156,0.0070922
10324,Tamoxifen,8640,Prednisone,10036051,Polycythaemia,1,140,1,1409,10.0,1.41145,0.0070922
10324,Tamoxifen,8640,Prednisone,10066474,Thyroid cancer,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10049418,Sudden cardiac death,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10035551,Pleocytosis,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10010235,Computerised tomogram abnormal,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10008795,Chromatopsia,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10019754,Hepatitis cholestatic,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10061111,Drug abuser,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10060138,Antineutrophil cytoplasmic antibody increased,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10058802,Gingival infection,1,155,1,1559,10.0,1.41172,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10021245,Idiopathic thrombocytopenic purpura,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10028228,Multiple myeloma,1,155,3,1557,3.33333,1.15164,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10050904,Cytolytic hepatitis,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10002646,Anorexia,1,155,6,1554,1.66667,1.07685,0.00641026
10324,Tamoxifen,8640,Prednisone,10042101,Stomach discomfort,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10051327,Pharmaceutical product complaint,1,155,4,1556,2.5,1.11488,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10051327,Pharmaceutical product complaint,1,108,4,1086,2.5,1.11351,0.00917431
10355,Temazepam,136411,sildenafil,10019831,Hepatocellular damage,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10013746,Drug toxicity,1,155,5,1555,2.0,1.09222,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10029328,Neuropathy,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10043408,Therapeutic agent toxicity,3,153,1,1559,30.0,1.15164,0.0192308
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10058818,Skin laceration,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10049193,Drug exposure during pregnancy,1,155,13,1547,0.769231,1.03435,0.00641026
161,Acetaminophen,1546438,glycopyrronium,10049193,Drug exposure during pregnancy,3,20,1,229,30.0,1.1338,0.130435
10355,Temazepam,136411,sildenafil,10051082,Therapy non-responder,1,155,1,1559,10.0,1.41172,0.00641026
10324,Tamoxifen,8640,Prednisone,10061326,Oral soft tissue disorder,1,140,1,1409,10.0,1.41145,0.0070922
drug_1_rxnorn_id,drug_1_concept_name,drug_2_rxnorm_id,drug_2_concept_name,condition_meddra_id,condition_concept_name,A,B,C,D,PRR,PRR_error,mean_reporting_frequency
1808,Bumetanide,7824,Oxytocin,10002034,Anaemia,1,13,3,137,3.33333,1.12016,0.0714286
1808,Bumetanide,7824,Oxytocin,10023126,Jaundice,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10003658,Atrial fibrillation,1,13,2,138,5.0,1.19224,0.0714286
1808,Bumetanide,7824,Oxytocin,10061024,Cardiac disorder,1,13,2,138,5.0,1.19224,0.0714286
1808,Bumetanide,7824,Oxytocin,10042772,Syncope,2,12,4,136,5.0,0.819407,0.142857
1808,Bumetanide,7824,Oxytocin,10013968,Dyspnoea,2,12,8,132,2.5,0.739208,0.142857
1808,Bumetanide,7824,Oxytocin,10013971,Dyspnoea exertional,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10008479,Chest pain,1,13,5,135,2.0,1.05898,0.0714286
1808,Bumetanide,7824,Oxytocin,10030124,Oedema peripheral,3,11,1,139,30.0,1.12016,0.214286
1808,Bumetanide,7824,Oxytocin,10020993,Hypoglycaemia,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10012318,Dental caries,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10013554,Diverticulum,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10012735,Diarrhoea,3,11,5,135,6.0,0.67436,0.214286
1808,Bumetanide,7824,Oxytocin,10010774,Constipation,1,13,2,138,5.0,1.19224,0.0714286
1808,Bumetanide,7824,Oxytocin,10006514,Bruxism,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10028813,Nausea,2,12,7,133,2.85714,0.75119,0.142857
1808,Bumetanide,7824,Oxytocin,10047700,Vomiting,3,11,4,136,7.5,0.710466,0.214286
1808,Bumetanide,7824,Oxytocin,10009944,Colon cancer,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10013911,Dysgeusia,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10037660,Pyrexia,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10011906,Death,1,13,7,133,1.42857,1.03164,0.0714286
1808,Bumetanide,7824,Oxytocin,10016256,Fatigue,3,11,3,137,10.0,0.766874,0.214286
1808,Bumetanide,7824,Oxytocin,10025482,Malaise,1,13,2,138,5.0,1.19224,0.0714286
1808,Bumetanide,7824,Oxytocin,10033371,Pain,1,13,4,136,2.5,1.08233,0.0714286
1808,Bumetanide,7824,Oxytocin,10019717,Hepatitis,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10046571,Urinary tract infection,1,13,3,137,3.33333,1.12016,0.0714286
1808,Bumetanide,7824,Oxytocin,10019974,Herpes zoster,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10022116,Injury,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10018884,Haemoglobin decreased,1,13,2,138,5.0,1.19224,0.0714286
1808,Bumetanide,7824,Oxytocin,10005557,Blood glucose increased,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10047895,Weight decreased,1,13,2,138,5.0,1.19224,0.0714286
1808,Bumetanide,7824,Oxytocin,10047899,Weight increased,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10005483,Blood creatinine increased,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10053123,Protein urine present,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10061428,Decreased appetite,3,11,1,139,30.0,1.12016,0.214286
1808,Bumetanide,7824,Oxytocin,10021036,Hyponatraemia,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10012174,Dehydration,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10020603,Hypercholesterolaemia,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10033433,Pain in jaw,1,13,1,139,10.0,1.38616,0.0714286
1808,Bumetanide,7824,Oxytocin,10003239,Arthralgia,1,13,2,138,5.0,1.19224,0.0714286
