ChEMBL_Drug_ID,ChEMBL_Target_ID,Interaction_Type,PubChem_CID,Receptor_Name
CHEMBL4122913,CHEMBL4122914,Binding/Inhibitor,CID_310,Endothelin-1 receptor
CHEMBL4131285,CHEMBL4131286,Binding/Inhibitor,CID_311,EGFR Kinase
CHEMBL4134625,CHEMBL4134626,Binding/Inhibitor,CID_312,Histamine H2 receptor
CHEMBL4138472,CHEMBL4138473,Binding/Inhibitor,CID_313,Beta-2 adrenergic receptor
CHEMBL4141959,CHEMBL4141960,Binding/Inhibitor,CID_314,D(1B) dopamine receptor
CHEMBL4145703,CHEMBL4145704,Binding/Inhibitor,CID_315,Endothelin-1 receptor
CHEMBL4149146,CHEMBL4149147,Binding/Inhibitor,CID_316,EGFR Kinase
CHEMBL4152826,CHEMBL4152827,Binding/Inhibitor,CID_317,Histamine H2 receptor
CHEMBL4156241,CHEMBL4156242,Binding/Inhibitor,CID_318,Beta-2 adrenergic receptor
CHEMBL4178450,CHEMBL4178451,Binding/Inhibitor,CID_319,D(1B) dopamine receptor
CHEMBL4181893,CHEMBL4181894,Binding/Inhibitor,CID_320,Endothelin-1 receptor
CHEMBL4185749,CHEMBL4185750,Binding/Inhibitor,CID_321,EGFR Kinase
CHEMBL4189231,CHEMBL4189232,Binding/Inhibitor,CID_322,Histamine H2 receptor
CHEMBL4192927,CHEMBL4192928,Binding/Inhibitor,CID_323,Beta-2 adrenergic receptor
CHEMBL4196653,CHEMBL4196654,Binding/Inhibitor,CID_324,D(1B) dopamine receptor
CHEMBL4200116,CHEMBL4200117,Binding/Inhibitor,CID_325,Endothelin-1 receptor
CHEMBL4220481,CHEMBL4220482,Binding/Inhibitor,CID_326,EGFR Kinase
CHEMBL4223979,CHEMBL4223980,Binding/Inhibitor,CID_328,Histamine H2 receptor
CHEMBL4232249,CHEMBL4232250,Binding/Inhibitor,CID_329,Beta-2 adrenergic receptor
CHEMBL4235879,CHEMBL4235880,Binding/Inhibitor,CID_330,D(1B) dopamine receptor
CHEMBL4253909,CHEMBL4253910,Binding/Inhibitor,CID_331,Endothelin-1 receptor
CHEMBL4257635,CHEMBL4257636,Binding/Inhibitor,CID_332,EGFR Kinase
CHEMBL4261132,CHEMBL4261133,Binding/Inhibitor,CID_333,Histamine H2 receptor
CHEMBL4264792,CHEMBL4264793,Binding/Inhibitor,CID_334,Beta-2 adrenergic receptor
CHEMBL4268534,CHEMBL4268535,Binding/Inhibitor,CID_335,D(1B) dopamine receptor
CHEMBL4272258,CHEMBL4272259,Binding/Inhibitor,CID_336,Endothelin-1 receptor
CHEMBL4275774,CHEMBL4275775,Binding/Inhibitor,CID_337,EGFR Kinase
CHEMBL4306926,CHEMBL4306927,Binding/Inhibitor,CID_338,Histamine H2 receptor
CHEMBL4310397,CHEMBL4310398,Binding/Inhibitor,CID_339,Beta-2 adrenergic receptor
CHEMBL4313980,CHEMBL4313981,Binding/Inhibitor,CID_340,D(1B) dopamine receptor
CHEMBL4317350,CHEMBL4317351,Binding/Inhibitor,CID_341,Endothelin-1 receptor
CHEMBL4320404,CHEMBL4320405,Binding/Inhibitor,CID_342,EGFR Kinase
CHEMBL4323937,CHEMBL4323938,Binding/Inhibitor,CID_343,Histamine H2 receptor
CHEMBL4327416,CHEMBL4327417,Binding/Inhibitor,CID_344,Beta-2 adrenergic receptor
CHEMBL4331123,CHEMBL4331124,Binding/Inhibitor,CID_345,D(1B) dopamine receptor
CHEMBL4334641,CHEMBL4334642,Binding/Inhibitor,CID_346,Endothelin-1 receptor
CHEMBL4337760,CHEMBL4337761,Binding/Inhibitor,CID_347,EGFR Kinase
CHEMBL4341239,CHEMBL4341240,Binding/Inhibitor,CID_348,Histamine H2 receptor
CHEMBL4344846,CHEMBL4344847,Binding/Inhibitor,CID_349,Beta-2 adrenergic receptor
CHEMBL4348262,CHEMBL4348263,Binding/Inhibitor,CID_350,D(1B) dopamine receptor
CHEMBL4351841,CHEMBL4351842,Binding/Inhibitor,CID_351,Endothelin-1 receptor
CHEMBL4355326,CHEMBL4355327,Binding/Inhibitor,CID_352,EGFR Kinase
CHEMBL4358581,CHEMBL4358582,Binding/Inhibitor,CID_353,Histamine H2 receptor
CHEMBL4362009,CHEMBL4362010,Binding/Inhibitor,CID_354,Beta-2 adrenergic receptor
CHEMBL4365569,CHEMBL4365570,Binding/Inhibitor,CID_355,D(1B) dopamine receptor
CHEMBL4369041,CHEMBL4369042,Binding/Inhibitor,CID_356,Endothelin-1 receptor
CHEMBL4372646,CHEMBL4372647,Binding/Inhibitor,CID_357,EGFR Kinase
CHEMBL4376114,CHEMBL4376115,Binding/Inhibitor,CID_358,Histamine H2 receptor
CHEMBL4379529,CHEMBL4379530,Binding/Inhibitor,CID_359,Beta-2 adrenergic receptor
CHEMBL4382820,CHEMBL4382821,Binding/Inhibitor,CID_360,D(1B) dopamine receptor
CHEMBL4386313,CHEMBL4386314,Binding/Inhibitor,CID_361,Endothelin-1 receptor
CHEMBL4389761,CHEMBL4389762,Binding/Inhibitor,CID_362,EGFR Kinase
CHEMBL4393157,CHEMBL4393158,Binding/Inhibitor,CID_363,Histamine H2 receptor
CHEMBL4396591,CHEMBL4396592,Binding/Inhibitor,CID_364,Beta-2 adrenergic receptor
CHEMBL4400050,CHEMBL4400051,Binding/Inhibitor,CID_365,D(1B) dopamine receptor
CHEMBL4403690,CHEMBL4403691,Binding/Inhibitor,CID_366,Endothelin-1 receptor
CHEMBL4407064,CHEMBL4407065,Binding/Inhibitor,CID_368,EGFR Kinase
CHEMBL4410365,CHEMBL4410366,Binding/Inhibitor,CID_370,Histamine H2 receptor
CHEMBL4413925,CHEMBL4413926,Binding/Inhibitor,CID_371,Beta-2 adrenergic receptor
CHEMBL4417402,CHEMBL4417403,Binding/Inhibitor,CID_372,D(1B) dopamine receptor
CHEMBL4420727,CHEMBL4420728,Binding/Inhibitor,CID_374,Endothelin-1 receptor
CHEMBL4424185,CHEMBL4424186,Binding/Inhibitor,CID_375,EGFR Kinase
CHEMBL4427928,CHEMBL4427929,Binding/Inhibitor,CID_376,Histamine H2 receptor
CHEMBL4431762,CHEMBL4431763,Binding/Inhibitor,CID_377,Beta-2 adrenergic receptor
CHEMBL4477654,CHEMBL4477655,Binding/Inhibitor,CID_378,D(1B) dopamine receptor
CHEMBL4481148,CHEMBL4481149,Binding/Inhibitor,CID_379,Endothelin-1 receptor
CHEMBL4604441,CHEMBL4604442,Binding/Inhibitor,CID_380,EGFR Kinase
CHEMBL4611229,CHEMBL4611230,Binding/Inhibitor,CID_381,Histamine H2 receptor
CHEMBL4614858,CHEMBL4614859,Binding/Inhibitor,CID_382,Beta-2 adrenergic receptor
CHEMBL4618444,CHEMBL4618445,Binding/Inhibitor,CID_383,D(1B) dopamine receptor
CHEMBL4622029,CHEMBL4622030,Binding/Inhibitor,CID_384,Endothelin-1 receptor
CHEMBL4625771,CHEMBL4625772,Binding/Inhibitor,CID_385,EGFR Kinase
CHEMBL4629379,CHEMBL4629380,Binding/Inhibitor,CID_386,Histamine H2 receptor
CHEMBL4667909,CHEMBL4667910,Binding/Inhibitor,CID_387,Beta-2 adrenergic receptor
CHEMBL4671364,CHEMBL4671365,Binding/Inhibitor,CID_388,D(1B) dopamine receptor
CHEMBL4675060,CHEMBL4675061,Binding/Inhibitor,CID_389,Endothelin-1 receptor
CHEMBL4678599,CHEMBL4678600,Binding/Inhibitor,CID_390,EGFR Kinase
CHEMBL4682385,CHEMBL4682386,Binding/Inhibitor,CID_391,Histamine H2 receptor
CHEMBL4685725,CHEMBL4685726,Binding/Inhibitor,CID_392,Beta-2 adrenergic receptor
CHEMBL4689156,CHEMBL4689157,Binding/Inhibitor,CID_393,D(1B) dopamine receptor
CHEMBL4702484,CHEMBL4702485,Binding/Inhibitor,CID_395,Endothelin-1 receptor
CHEMBL4705918,CHEMBL4705919,Binding/Inhibitor,CID_397,EGFR Kinase
CHEMBL4709644,CHEMBL4709645,Binding/Inhibitor,CID_398,Histamine H2 receptor
CHEMBL4712959,CHEMBL4712960,Binding/Inhibitor,CID_399,Beta-2 adrenergic receptor
CHEMBL4716570,CHEMBL4716571,Binding/Inhibitor,CID_400,D(1B) dopamine receptor
CHEMBL4719958,CHEMBL4719959,Binding/Inhibitor,CID_401,Endothelin-1 receptor
CHEMBL4723293,CHEMBL4723294,Binding/Inhibitor,CID_402,EGFR Kinase
CHEMBL4727067,CHEMBL4727068,Binding/Inhibitor,CID_403,Histamine H2 receptor
CHEMBL4730562,CHEMBL4730563,Binding/Inhibitor,CID_404,Beta-2 adrenergic receptor
CHEMBL4734189,CHEMBL4734190,Binding/Inhibitor,CID_405,D(1B) dopamine receptor
CHEMBL4737502,CHEMBL4737503,Binding/Inhibitor,CID_406,Endothelin-1 receptor
CHEMBL4766483,CHEMBL4766484,Binding/Inhibitor,CID_407,EGFR Kinase
CHEMBL4769695,CHEMBL4769696,Binding/Inhibitor,CID_408,Histamine H2 receptor
CHEMBL4773026,CHEMBL4773027,Binding/Inhibitor,CID_409,Beta-2 adrenergic receptor
CHEMBL4804780,CHEMBL4804781,Binding/Inhibitor,CID_410,D(1B) dopamine receptor
CHEMBL4808728,CHEMBL4808729,Binding/Inhibitor,CID_411,Endothelin-1 receptor
CHEMBL4812277,CHEMBL4812278,Binding/Inhibitor,CID_412,EGFR Kinase
CHEMBL4815941,CHEMBL4815942,Binding/Inhibitor,CID_413,Histamine H2 receptor
CHEMBL4819692,CHEMBL4819693,Binding/Inhibitor,CID_414,Beta-2 adrenergic receptor
CHEMBL4823194,CHEMBL4823195,Binding/Inhibitor,CID_415,D(1B) dopamine receptor
CHEMBL4826853,CHEMBL4826854,Binding/Inhibitor,CID_416,Endothelin-1 receptor
CHEMBL4830372,CHEMBL4830373,Binding/Inhibitor,CID_417,EGFR Kinase
CHEMBL4833845,CHEMBL4833846,Binding/Inhibitor,CID_418,Histamine H2 receptor
CHEMBL4837576,CHEMBL4837577,Binding/Inhibitor,CID_419,Beta-2 adrenergic receptor
CHEMBL4841121,CHEMBL4841122,Binding/Inhibitor,CID_420,D(1B) dopamine receptor
CHEMBL4844755,CHEMBL4844756,Binding/Inhibitor,CID_421,Endothelin-1 receptor
CHEMBL4883010,CHEMBL4883011,Binding/Inhibitor,CID_422,EGFR Kinase
CHEMBL4887748,CHEMBL4887749,Binding/Inhibitor,CID_423,Histamine H2 receptor
CHEMBL5032175,CHEMBL5032176,Binding/Inhibitor,CID_424,Beta-2 adrenergic receptor
CHEMBL5035836,CHEMBL5035837,Binding/Inhibitor,CID_425,D(1B) dopamine receptor
CHEMBL5039486,CHEMBL5039487,Binding/Inhibitor,CID_426,Endothelin-1 receptor
CHEMBL5043027,CHEMBL5043028,Binding/Inhibitor,CID_427,EGFR Kinase
CHEMBL5046586,CHEMBL5046587,Binding/Inhibitor,CID_428,Histamine H2 receptor
CHEMBL5050050,CHEMBL5050051,Binding/Inhibitor,CID_429,Beta-2 adrenergic receptor
CHEMBL5054836,CHEMBL5054837,Binding/Inhibitor,CID_430,D(1B) dopamine receptor
CHEMBL5058387,CHEMBL5058388,Binding/Inhibitor,CID_431,Endothelin-1 receptor
CHEMBL5098651,CHEMBL5098652,Binding/Inhibitor,CID_432,EGFR Kinase
CHEMBL5105934,CHEMBL5105935,Binding/Inhibitor,CID_433,Histamine H2 receptor
CHEMBL5109509,CHEMBL5109510,Binding/Inhibitor,CID_434,Beta-2 adrenergic receptor
CHEMBL5112972,CHEMBL5112973,Binding/Inhibitor,CID_435,D(1B) dopamine receptor
CHEMBL5116824,CHEMBL5116825,Binding/Inhibitor,CID_436,Endothelin-1 receptor
CHEMBL5120280,CHEMBL5120281,Binding/Inhibitor,CID_437,EGFR Kinase
CHEMBL5123899,CHEMBL5123900,Binding/Inhibitor,CID_438,Histamine H2 receptor
CHEMBL5127538,CHEMBL5127539,Binding/Inhibitor,CID_439,Beta-2 adrenergic receptor
CHEMBL5131041,CHEMBL5131042,Binding/Inhibitor,CID_440,D(1B) dopamine receptor
CHEMBL5134826,CHEMBL5134827,Binding/Inhibitor,CID_441,Endothelin-1 receptor
CHEMBL5138507,CHEMBL5138508,Binding/Inhibitor,CID_442,EGFR Kinase
CHEMBL5141968,CHEMBL5141969,Binding/Inhibitor,CID_443,Histamine H2 receptor
CHEMBL5145645,CHEMBL5145646,Binding/Inhibitor,CID_444,Beta-2 adrenergic receptor
CHEMBL5149119,CHEMBL5149120,Binding/Inhibitor,CID_445,D(1B) dopamine receptor
CHEMBL5152881,CHEMBL5152882,Binding/Inhibitor,CID_446,Endothelin-1 receptor
CHEMBL5156650,CHEMBL5156651,Binding/Inhibitor,CID_447,EGFR Kinase
CHEMBL5160089,CHEMBL5160090,Binding/Inhibitor,CID_448,Histamine H2 receptor
CHEMBL5163497,CHEMBL5163498,Binding/Inhibitor,CID_449,Beta-2 adrenergic receptor
CHEMBL5166838,CHEMBL5166839,Binding/Inhibitor,CID_450,D(1B) dopamine receptor
CHEMBL5213207,CHEMBL5213208,Binding/Inhibitor,CID_452,Endothelin-1 receptor
CHEMBL5217078,CHEMBL5217079,Binding/Inhibitor,CID_453,EGFR Kinase
CHEMBL5225531,CHEMBL5225532,Binding/Inhibitor,CID_454,Histamine H2 receptor
CHEMBL5229416,CHEMBL5229417,Binding/Inhibitor,CID_455,Beta-2 adrenergic receptor
CHEMBL5233093,CHEMBL5233094,Binding/Inhibitor,CID_456,D(1B) dopamine receptor
CHEMBL5237127,CHEMBL5237128,Binding/Inhibitor,CID_457,Endothelin-1 receptor
CHEMBL5240681,CHEMBL5240682,Binding/Inhibitor,CID_458,EGFR Kinase
CHEMBL5244662,CHEMBL5244663,Binding/Inhibitor,CID_460,Histamine H2 receptor
CHEMBL5248563,CHEMBL5248564,Binding/Inhibitor,CID_461,Beta-2 adrenergic receptor
CHEMBL5251939,CHEMBL5251940,Binding/Inhibitor,CID_462,D(1B) dopamine receptor
CHEMBL5255764,CHEMBL5255765,Binding/Inhibitor,CID_463,Endothelin-1 receptor
CHEMBL5259487,CHEMBL5259488,Binding/Inhibitor,CID_464,EGFR Kinase
CHEMBL5263463,CHEMBL5263464,Binding/Inhibitor,CID_465,Histamine H2 receptor
CHEMBL5316446,CHEMBL5316447,Binding/Inhibitor,CID_466,Beta-2 adrenergic receptor
CHEMBL5319804,CHEMBL5319805,Binding/Inhibitor,CID_467,D(1B) dopamine receptor
CHEMBL5323219,CHEMBL5323220,Binding/Inhibitor,CID_468,Endothelin-1 receptor
CHEMBL5326700,CHEMBL5326701,Binding/Inhibitor,CID_469,EGFR Kinase
CHEMBL5330182,CHEMBL5330183,Binding/Inhibitor,CID_470,Histamine H2 receptor
CHEMBL5333813,CHEMBL5333814,Binding/Inhibitor,CID_471,Beta-2 adrenergic receptor
CHEMBL5337253,CHEMBL5337254,Binding/Inhibitor,CID_472,D(1B) dopamine receptor
CHEMBL5340820,CHEMBL5340821,Binding/Inhibitor,CID_473,Endothelin-1 receptor
CHEMBL5344180,CHEMBL5344181,Binding/Inhibitor,CID_474,EGFR Kinase
CHEMBL5347831,CHEMBL5347832,Binding/Inhibitor,CID_475,Histamine H2 receptor
CHEMBL5351236,CHEMBL5351237,Binding/Inhibitor,CID_476,Beta-2 adrenergic receptor
CHEMBL5354750,CHEMBL5354751,Binding/Inhibitor,CID_477,D(1B) dopamine receptor
CHEMBL5358371,CHEMBL5358372,Binding/Inhibitor,CID_478,Endothelin-1 receptor
CHEMBL5362004,CHEMBL5362005,Binding/Inhibitor,CID_479,EGFR Kinase
CHEMBL5365362,CHEMBL5365363,Binding/Inhibitor,CID_481,Histamine H2 receptor
CHEMBL5368989,CHEMBL5368990,Binding/Inhibitor,CID_482,Beta-2 adrenergic receptor
CHEMBL5372547,CHEMBL5372548,Binding/Inhibitor,CID_483,D(1B) dopamine receptor
CHEMBL5375898,CHEMBL5375899,Binding/Inhibitor,CID_484,Endothelin-1 receptor
CHEMBL5379606,CHEMBL5379607,Binding/Inhibitor,CID_485,EGFR Kinase
CHEMBL5383106,CHEMBL5383107,Binding/Inhibitor,CID_486,Histamine H2 receptor
CHEMBL5386669,CHEMBL5386670,Binding/Inhibitor,CID_487,Beta-2 adrenergic receptor
CHEMBL5390100,CHEMBL5390101,Binding/Inhibitor,CID_488,D(1B) dopamine receptor
CHEMBL5393596,CHEMBL5393597,Binding/Inhibitor,CID_489,Endothelin-1 receptor
CHEMBL5464587,CHEMBL5464588,Binding/Inhibitor,CID_490,EGFR Kinase
CHEMBL5469123,CHEMBL5469124,Binding/Inhibitor,CID_491,Histamine H2 receptor
CHEMBL5472973,CHEMBL5472974,Binding/Inhibitor,CID_492,Beta-2 adrenergic receptor
CHEMBL5476872,CHEMBL5476873,Binding/Inhibitor,CID_493,D(1B) dopamine receptor
CHEMBL5480889,CHEMBL5480890,Binding/Inhibitor,CID_494,Endothelin-1 receptor
CHEMBL5502058,CHEMBL5502059,Binding/Inhibitor,CID_495,EGFR Kinase
CHEMBL5505374,CHEMBL5505375,Binding/Inhibitor,CID_496,Histamine H2 receptor
CHEMBL5509110,CHEMBL5509111,Binding/Inhibitor,CID_497,Beta-2 adrenergic receptor
CHEMBL5512885,CHEMBL5512886,Binding/Inhibitor,CID_499,D(1B) dopamine receptor
CHEMBL5516463,CHEMBL5516464,Binding/Inhibitor,CID_500,Endothelin-1 receptor
CHEMBL5520458,CHEMBL5520459,Binding/Inhibitor,CID_501,EGFR Kinase
CHEMBL5524343,CHEMBL5524344,Binding/Inhibitor,CID_502,Histamine H2 receptor
CHEMBL5527790,CHEMBL5527791,Binding/Inhibitor,CID_503,Beta-2 adrenergic receptor
CHEMBL5531436,CHEMBL5531437,Binding/Inhibitor,CID_504,D(1B) dopamine receptor
CHEMBL5535748,CHEMBL5535749,Binding/Inhibitor,CID_505,Endothelin-1 receptor
CHEMBL5539292,CHEMBL5539293,Binding/Inhibitor,CID_507,EGFR Kinase
CHEMBL5543935,CHEMBL5543936,Binding/Inhibitor,CID_508,Histamine H2 receptor
CHEMBL5547169,CHEMBL5547170,Binding/Inhibitor,CID_510,Beta-2 adrenergic receptor
CHEMBL5551007,CHEMBL5551008,Binding/Inhibitor,CID_511,D(1B) dopamine receptor
CHEMBL5554486,CHEMBL5554487,Binding/Inhibitor,CID_512,Endothelin-1 receptor
CHEMBL5579132,CHEMBL5579133,Binding/Inhibitor,CID_513,EGFR Kinase
CHEMBL5582845,CHEMBL5582846,Binding/Inhibitor,CID_514,Histamine H2 receptor
CHEMBL5587175,CHEMBL5587176,Binding/Inhibitor,CID_515,Beta-2 adrenergic receptor
CHEMBL5609135,CHEMBL5609136,Binding/Inhibitor,CID_516,D(1B) dopamine receptor
CHEMBL5615124,CHEMBL5615125,Binding/Inhibitor,CID_517,Endothelin-1 receptor
CHEMBL5620856,CHEMBL5620857,Binding/Inhibitor,CID_518,EGFR Kinase
CHEMBL5624309,CHEMBL5624310,Binding/Inhibitor,CID_519,Histamine H2 receptor
CHEMBL5628560,CHEMBL5628561,Binding/Inhibitor,CID_520,Beta-2 adrenergic receptor
CHEMBL5636385,CHEMBL5636386,Binding/Inhibitor,CID_521,D(1B) dopamine receptor
CHEMBL5648390,CHEMBL5648391,Binding/Inhibitor,CID_522,Endothelin-1 receptor
CHEMBL5652231,CHEMBL5652232,Binding/Inhibitor,CID_523,EGFR Kinase
CHEMBL5656028,CHEMBL5656029,Binding/Inhibitor,CID_524,Histamine H2 receptor
CHEMBL5659673,CHEMBL5659674,Binding/Inhibitor,CID_525,Beta-2 adrenergic receptor
CHEMBL5663574,CHEMBL5663575,Binding/Inhibitor,CID_526,D(1B) dopamine receptor
CHEMBL5676607,CHEMBL5676608,Binding/Inhibitor,CID_527,Endothelin-1 receptor
CHEMBL5679799,CHEMBL5679800,Binding/Inhibitor,CID_528,EGFR Kinase
CHEMBL5683215,CHEMBL5683216,Binding/Inhibitor,CID_529,Histamine H2 receptor
CHEMBL5696478,CHEMBL5696479,Binding/Inhibitor,CID_531,Beta-2 adrenergic receptor
CHEMBL5699933,CHEMBL5699934,Binding/Inhibitor,CID_532,D(1B) dopamine receptor
CHEMBL5703652,CHEMBL5703653,Binding/Inhibitor,CID_533,Endothelin-1 receptor
CHEMBL5707338,CHEMBL5707339,Binding/Inhibitor,CID_534,EGFR Kinase
CHEMBL5710723,CHEMBL5710724,Binding/Inhibitor,CID_535,Histamine H2 receptor
CHEMBL5714405,CHEMBL5714406,Binding/Inhibitor,CID_536,Beta-2 adrenergic receptor
CHEMBL5718036,CHEMBL5718037,Binding/Inhibitor,CID_537,D(1B) dopamine receptor
CHEMBL5721159,CHEMBL5721160,Binding/Inhibitor,CID_538,Endothelin-1 receptor
CHEMBL5729825,CHEMBL5729826,Binding/Inhibitor,CID_539,EGFR Kinase
CHEMBL5730685,CHEMBL5730686,Binding/Inhibitor,CID_540,Histamine H2 receptor
CHEMBL5731345,CHEMBL5731346,Binding/Inhibitor,CID_541,Beta-2 adrenergic receptor
CHEMBL5732034,CHEMBL5732035,Binding/Inhibitor,CID_542,D(1B) dopamine receptor
CHEMBL5732752,CHEMBL5732753,Binding/Inhibitor,CID_543,Endothelin-1 receptor
CHEMBL5733450,CHEMBL5733451,Binding/Inhibitor,CID_544,EGFR Kinase
CHEMBL5734098,CHEMBL5734099,Binding/Inhibitor,CID_545,Histamine H2 receptor
CHEMBL5734767,CHEMBL5734768,Binding/Inhibitor,CID_546,Beta-2 adrenergic receptor
CHEMBL5735427,CHEMBL5735428,Binding/Inhibitor,CID_547,D(1B) dopamine receptor
CHEMBL5736134,CHEMBL5736135,Binding/Inhibitor,CID_548,Endothelin-1 receptor
CHEMBL5736829,CHEMBL5736830,Binding/Inhibitor,CID_550,EGFR Kinase
CHEMBL5737567,CHEMBL5737568,Binding/Inhibitor,CID_551,Histamine H2 receptor
CHEMBL5738333,CHEMBL5738334,Binding/Inhibitor,CID_553,Beta-2 adrenergic receptor
CHEMBL5739117,CHEMBL5739118,Binding/Inhibitor,CID_554,D(1B) dopamine receptor
CHEMBL6072703,CHEMBL6072704,Binding/Inhibitor,CID_555,Endothelin-1 receptor
CHEMBL6076517,CHEMBL6076518,Binding/Inhibitor,CID_556,EGFR Kinase
CHEMBL6080729,CHEMBL6080730,Binding/Inhibitor,CID_557,Histamine H2 receptor
CHEMBL6084623,CHEMBL6084624,Binding/Inhibitor,CID_558,Beta-2 adrenergic receptor
CHEMBL6088390,CHEMBL6088391,Binding/Inhibitor,CID_559,D(1B) dopamine receptor
CHEMBL6092323,CHEMBL6092324,Binding/Inhibitor,CID_560,Endothelin-1 receptor
CHEMBL6095710,CHEMBL6095711,Binding/Inhibitor,CID_561,EGFR Kinase
CHEMBL6099405,CHEMBL6099406,Binding/Inhibitor,CID_562,Histamine H2 receptor
CHEMBL6104793,CHEMBL6104794,Binding/Inhibitor,CID_563,Beta-2 adrenergic receptor
CHEMBL6108190,CHEMBL6108191,Binding/Inhibitor,CID_564,D(1B) dopamine receptor
CHEMBL6111948,CHEMBL6111949,Binding/Inhibitor,CID_566,Endothelin-1 receptor
CHEMBL6115516,CHEMBL6115517,Binding/Inhibitor,CID_567,EGFR Kinase
CHEMBL6118884,CHEMBL6118885,Binding/Inhibitor,CID_568,Histamine H2 receptor
CHEMBL6123151,CHEMBL6123152,Binding/Inhibitor,CID_569,Beta-2 adrenergic receptor
CHEMBL6126514,CHEMBL6126515,Binding/Inhibitor,CID_570,D(1B) dopamine receptor
CHEMBL6130278,CHEMBL6130279,Binding/Inhibitor,CID_571,Endothelin-1 receptor
CHEMBL6135978,CHEMBL6135979,Binding/Inhibitor,CID_572,EGFR Kinase
CHEMBL6139290,CHEMBL6139291,Binding/Inhibitor,CID_573,Histamine H2 receptor
CHEMBL6154381,CHEMBL6154382,Binding/Inhibitor,CID_577,Beta-2 adrenergic receptor
CHEMBL6157780,CHEMBL6157781,Binding/Inhibitor,CID_578,D(1B) dopamine receptor
CHEMBL6179715,CHEMBL6179716,Binding/Inhibitor,CID_579,Endothelin-1 receptor
CHEMBL6183185,CHEMBL6183186,Binding/Inhibitor,CID_580,EGFR Kinase
CHEMBL6186485,CHEMBL6186486,Binding/Inhibitor,CID_581,Histamine H2 receptor
CHEMBL1158643,CHEMBL1139451,Binding/Inhibitor,CID_582,Beta-2 adrenergic receptor
CHEMBL1130621,CHEMBL1130622,Binding/Inhibitor,CID_583,D(1B) dopamine receptor
CHEMBL1134100,CHEMBL1134435,Binding/Inhibitor,CID_584,Endothelin-1 receptor
CHEMBL1136082,CHEMBL1136083,Binding/Inhibitor,CID_585,EGFR Kinase
CHEMBL1137973,CHEMBL1137847,Binding/Inhibitor,CID_586,Histamine H2 receptor
CHEMBL1122399,CHEMBL1122400,Binding/Inhibitor,CID_587,Beta-2 adrenergic receptor
CHEMBL1123207,CHEMBL1123208,Binding/Inhibitor,CID_588,D(1B) dopamine receptor
CHEMBL1123951,CHEMBL1123952,Binding/Inhibitor,CID_589,Endothelin-1 receptor
CHEMBL1124950,CHEMBL1124951,Binding/Inhibitor,CID_590,EGFR Kinase
CHEMBL1125278,CHEMBL1125929,Binding/Inhibitor,CID_591,Histamine H2 receptor
CHEMBL1126681,CHEMBL1126682,Binding/Inhibitor,CID_592,Beta-2 adrenergic receptor
CHEMBL1127480,CHEMBL1127481,Binding/Inhibitor,CID_593,D(1B) dopamine receptor
CHEMBL1128221,CHEMBL1128222,Binding/Inhibitor,CID_594,Endothelin-1 receptor
CHEMBL1129584,CHEMBL1129569,Binding/Inhibitor,CID_595,EGFR Kinase
CHEMBL1131067,CHEMBL1131068,Binding/Inhibitor,CID_596,Histamine H2 receptor
CHEMBL1132458,CHEMBL1132155,Binding/Inhibitor,CID_597,Beta-2 adrenergic receptor
CHEMBL1132977,CHEMBL1132978,Binding/Inhibitor,CID_598,D(1B) dopamine receptor
CHEMBL1135500,CHEMBL1135501,Binding/Inhibitor,CID_599,Endothelin-1 receptor
CHEMBL1145076,CHEMBL1145077,Binding/Inhibitor,CID_600,EGFR Kinase
CHEMBL1137133,CHEMBL1137134,Binding/Inhibitor,CID_601,Histamine H2 receptor
CHEMBL1137223,CHEMBL1138794,Binding/Inhibitor,CID_602,Beta-2 adrenergic receptor
CHEMBL1141124,CHEMBL1141125,Binding/Inhibitor,CID_603,D(1B) dopamine receptor
CHEMBL1148523,CHEMBL1148524,Binding/Inhibitor,CID_604,Endothelin-1 receptor
CHEMBL1146171,CHEMBL1146172,Binding/Inhibitor,CID_605,EGFR Kinase
CHEMBL1143051,CHEMBL1143052,Binding/Inhibitor,CID_606,Histamine H2 receptor
CHEMBL1148818,CHEMBL1148819,Binding/Inhibitor,CID_607,Beta-2 adrenergic receptor
CHEMBL1139788,CHEMBL1139789,Binding/Inhibitor,CID_608,D(1B) dopamine receptor
CHEMBL1143108,CHEMBL1143109,Binding/Inhibitor,CID_609,Endothelin-1 receptor
CHEMBL1151167,CHEMBL1151168,Binding/Inhibitor,CID_610,EGFR Kinase
CHEMBL1148897,CHEMBL1148898,Binding/Inhibitor,CID_611,Histamine H2 receptor
CHEMBL1150300,CHEMBL1150301,Binding/Inhibitor,CID_612,Beta-2 adrenergic receptor
CHEMBL1158126,CHEMBL1158127,Binding/Inhibitor,CID_613,D(1B) dopamine receptor
CHEMBL1155904,CHEMBL1155905,Binding/Inhibitor,CID_614,Endothelin-1 receptor
CHEMBL1139298,CHEMBL1139299,Binding/Inhibitor,CID_615,EGFR Kinase
CHEMBL1152705,CHEMBL1152706,Binding/Inhibitor,CID_616,Histamine H2 receptor
CHEMBL1137636,CHEMBL1137637,Binding/Inhibitor,CID_617,Beta-2 adrenergic receptor
CHEMBL1152423,CHEMBL1152424,Binding/Inhibitor,CID_618,D(1B) dopamine receptor
